Query ID   Q0         Document Name                                                                    Rank       Cosine Similarity Score                  System Name         
3          Q0         S:\Raw_files\GridEnergyStorage.txt                                               78         0.13133362                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\EnvironmentalImpactOfElectricityGeneration.txt                      79         0.13072315                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\ClothesLine.txt                                                     80         0.12990406                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\ElectricVehicle.txt                                                 81         0.12860839                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\SandiaNationalLaboratories.txt                                      82         0.12641054                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\EnergyAndEnvironmentalScience.txt                                   83         0.123743325                              Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInTuvalu.txt                                         84         0.12331912                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\GreenBuilding.txt                                                   85         0.12194121                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInItaly.txt                                          86         0.12105715                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\SolarThermalCollector.txt                                           87         0.120247595                              Shantanu-SYS-001    
3          Q0         S:\Raw_files\EnhancedOilRecovery.txt                                             88         0.12024003                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\ClimateChangeMitigation.txt                                         89         0.12002234                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\SeasonalThermalEnergyStorage.txt                                    90         0.118579075                              Shantanu-SYS-001    
3          Q0         S:\Raw_files\SuperGrid.txt                                                       91         0.11826904                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\Over-Illumination.txt                                               92         0.11821686                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInSpain.txt                                          93         0.11792642                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\MouraPhotovoltaicPowerStation.txt                                   94         0.11746186                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\SustainableLiving.txt                                               95         0.11696343                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInColombia.txt                                       96         0.116899535                              Shantanu-SYS-001    
3          Q0         S:\Raw_files\WindFarm.txt                                                        97         0.11606799                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\EnergyReturnedOnEnergyInvested.txt                                  98         0.11493125                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\VariableRenewableEnergy.txt                                         99         0.11386972                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInEthiopia.txt                                       100        0.11372678                               Shantanu-SYS-001    
